Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_350.jpg;0;1;0;1.280145;100.3111;86.47464;1.236916;54.30285;-0.0006630563
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_416.jpg;0;1;0;1.32705;100.3584;86.53995;1.238162;54.27906;-0.0007605964
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_483.jpg;0;1;0;1.391048;100.4075;86.60758;1.24236;54.2599;-0.0008818619
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_550.jpg;4.00312;1;0;1.436854;100.474;86.70219;1.244801;54.54044;-0.002608734
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_617.jpg;8.002246;1;0;1.484028;100.5233;86.77732;1.241575;55.15536;0.013843
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_683.jpg;8.026237;1;0;1.542043;100.5719;86.85592;1.231131;56.05354;0.04070396
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_750.jpg;12.03632;1;0;1.5875;100.6358;86.9657;1.197742;57.48379;0.07350896
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_817.jpg;15;1;0;1.629596;100.6811;87.05228;1.141228;58.92905;0.1256942
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_883.jpg;13.04901;1;0;1.686135;100.725;87.14219;1.071022;60.46398;0.1831215
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_25_950.jpg;15;1;0;1.730376;100.7811;87.26748;0.9716175;62.58337;0.2787172
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_017.jpg;13.0071;1;0;1.77332;100.8219;87.36517;0.8886495;64.13369;0.3422371
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_083.jpg;8.999952;1;0;1.835258;100.8632;87.46609;0.8291649;65.40078;0.3845807
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_150.jpg;5.015848;1;0;1.881566;100.9204;87.60526;0.7976657;66.48824;0.3806537
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_217.jpg;1.015846;1;0;1.927212;100.9659;87.71317;0.8334982;66.82877;0.3403425
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_283.jpg;0;1;0;1.985281;101.0137;87.82391;0.9176518;66.88309;0.272332
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_350.jpg;0;1;0;2.02875;101.0795;87.97598;1.079252;66.86725;0.157496
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_417.jpg;-1.991891;1;0;2.072026;101.1311;88.09268;1.21309;66.74136;0.03144167
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_483.jpg;-5.99389;1;0;2.128955;101.1844;88.21107;1.329483;66.29894;359.9593
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_550.jpg;-9.995489;1;0;2.168221;101.2598;88.36705;1.270654;64.95348;359.9431
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_617.jpg;-6.002;1;0;2.216549;101.3202;88.48517;1.197811;63.96698;359.9334
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_683.jpg;-2.008679;1;0;2.275993;101.3823;88.60633;1.170707;63.37826;359.9266
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_750.jpg;0;1;0;2.318713;101.4655;88.77344;1.20376;63.23669;359.963
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_816.jpg;0;1;0;2.3612;101.5296;88.90212;1.269868;63.24277;-0.003369151
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_883.jpg;3.980987;1;0;2.417041;101.5944;89.03336;1.344171;63.45319;-0.003026447
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_26_950.jpg;7.994444;1;0;2.457979;101.6775;89.2122;1.33514;64.46931;0.006964548
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_017.jpg;12.01036;1;0;2.501076;101.7351;89.35049;1.273192;65.81252;0.07877693
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_083.jpg;15;1;0;2.550058;101.7879;89.49195;1.152697;67.62531;0.1896533
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_150.jpg;15;1;0;2.588387;101.8508;89.68539;0.9119817;70.34033;0.3879142
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_217.jpg;15;0.9009446;0;2.627986;101.8925;89.83414;0.6953528;72.40744;0.5782402
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_283.jpg;10.99302;0.7005958;0;2.672571;101.9307;89.98522;0.4520674;74.26399;0.7669738
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_350.jpg;7.012576;0.5015733;0;2.698641;101.979;90.18934;0.1093187;76.01786;0.9774188
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_27_416.jpg;2.984342;0.3001617;0;2.715301;102.0146;90.34452;359.9017;76.74837;1.088247
